"English","English_Abbr","HK Chinese"
"data encryption tools","","數據加密工具"
"data entity","","數據實體"
"data entry","","數據輸入"
"data field","","數據字段"
"data flow diagram","","數據流程圖"
"data flow model","","數據流程模型"
"data independence","","數據獨立性"
"data integrity","","數據完整性"
"data inventory","","數據清單"
"data link","","數據鏈路"
"data management","","數據管理"
"data manipulation language","DML","數據操作語言"
"data manual","","數據手冊"
"data mining","","數據開採"
"data model","","數據模型"
"data modeling","","建立數據模型"
"data network","","數據網絡"
"data object","","數據物件"
"data owner","","數據擁有人"
"data privacy [information security]","","數據保密 [資訊保安]"
"data privacy [personal data]","","資料私隱 [個人資料]"
"data processing","","數據處理"
"data processing system","","數據處理系統"
"data protection","","數據保護"
"data repository","","數據儲存庫"
"data science","","數據科學"
"data scientist","","數據科學家"
"data security","","數據保安"
"data sharing","","數據共用"
"data sink","","數據接收器"
"data source","","數據源"
"data specification","","數據規格"
"data standardization","","數據標準化"
"data store","","數據儲存處"
"data subject","","數據主體"
"Data Technology Hub","","數據技術中心"
"data terminal equipment","DTE","數據終端設備"
"data transmission","","數據傳輸"
"data type","","數據類型"
"data validation","","數據確認"
"data volatility","","數據易變性"
"data warehouse","","數據倉"
"database","","數據庫"
"database administration","","數據庫管理"
"database administrator","DBA","數據庫管理員"
"database language","","數據庫語言"
"database management","","數據庫管理"
"database management system","DBMS","數據庫管理系統"
"database reorganisation","","數據庫重組"
"database schema","","數據庫模式"
"database software","","數據庫軟件"
"database utility","","數據庫實用程式"
"dataset","","數據集"
"deadlock","","死鎖"
"debugging software","","除錯軟件"
"decentralised model","","分散管理模式"
"decision support system","DSS","決策支援系統"
"decision table","","決策表"
"decryption","","解密"
"deep learning","","深度學習"
"deep link","","深層連結"
"deep web","","深網 / 深層網頁"
"default value","","預設值"
"degausser","","消磁器"
"delink","","解除連結"
"demodulation","","解調"
"denial of service","DoS","拒絕服務"
"design review","","設計覆檢"
"desk checking","","人工檢查"
"desktop computer","","桌上電腦"
"desktop publishing","","桌上排版"
"desktop publishing software","","桌上排版軟件"
"desktop technology","","桌面技術"
"development environment","","發展環境"
"development machine","","發展用的機器"
"development project","","發展計劃"
"development system","","發展系統"
"DevOps","","開發與維運"
"dial-up adapter","","撥號適配器"
"dialogue structure","","對話結構"
"dictionary attack","","字典攻擊"
"digit","","數字"
"digital certificate","","數碼證書"
"digital certification services","","數碼核證服務"
"digital computer","","數碼電腦"
"digital entertainment","","數碼娛樂"
"digital framework","","數碼架構"
"digital identity","","數碼身分"
"digital map","","數碼地圖"
"digital media exchange prototype","","數碼媒體交換平台原型"
"digital payment","","數碼支付"
"digital server certificate","","數碼伺服器證書"
"digital signal","","數碼信號"
"digital signature","","數碼簽署"
"digital subscriber line","DSL","數碼用戶線"
"digital technology","","數碼科技"
"digital trade and transportation network","DTTN","數碼貿易運輸網絡"
"digital transformation","","數碼轉型"
"digital versatile disk","DVD","數碼多功能光碟"
"digital workplace","","數碼工作間"
"direct access storage device","DASD","直接接達儲存設備"
"directory","","目錄"
"disaster recovery","","運作復原"
"disk","","磁碟"
"disk array","","磁碟組"
"disk storage","","磁碟儲存器"
"diskette","","軟磁碟"
"distributed computing","","分布式電腦運作"
"distributed database","","分布式數據庫"
"distributed database management system","","分布式數據庫管理系統"
"distributed denial of service (DDoS) attack","DDoS attack","分布式拒絕服務攻擊"
"distributed ledger technology","DLT","分布式分類帳技術"
"distributed system","","分布式系統"
"document management system","","文件管理系統"
"document object model","DOM","文檔對象模型"
"documentation","","文件編製"
"documentation standard","","文件編製標準"
"domain name registrar","","域名註冊服務機構"
"domain name registry","","域名註冊管理機構"
"domain name system","DNS","域名系統"
"domain name system security extensions","DNSSEC","域名系統安全擴展"
"DomainKeys Identified Mail","DKIM","域名密鑰識別郵件"
"dot matrix","","點陣"
"down sizing","","縮簡規模"
"down time","","停機時間"
"dual-core","","雙核心"
"dumb terminal","","簡易終端機"
"duplex transmission","","雙向傳輸"
"DVD-ROM","","唯讀型數碼多功能光碟"
"dynamic hypertext markup language","DHTML","動態超文本標記語言"
"dynamic link library","","動態連結庫"
"e-Cheque","","電子支票"
"e-competence","","資訊科技應用能力"
"e-Intensity Index","","互聯網強度指數"
"e-invoicing","","電子發票"
"eavesdropping","","竊聽"
"edge computing","","邊緣運算"
"edutainment","","教育娛樂"
"effective transfer rate","","有效傳送率"
"electric vehicle","","電動車"
"electrically erasable programmable read only memory","EEPROM","可電刪可編程唯讀記憶體"
"electronic business xml","ebXML","電子商貿可擴充標示語言"
"electronic certificate","e-Cert","電子證書"
"electronic commerce","e-commerce","電子貿易"
"electronic commerce modelling language","ECML","電子貿易模型語言 "
"electronic data interchange","EDI","電子數據聯通"
"electronic form","","電子表格"
"electronic government","E-government","電子政府"
"electronic identity","eID","數碼個人身分"
"electronic mail","E-mail","電子郵件"
"electronic mail address","","電子郵址"
"electronic mail bombing","","電子郵件轟炸"
"electronic mail box","","電子郵箱"
"electronic mail system software","","電子郵遞系統軟件"
"electronic messaging system","","電子信息系統"
"electronic money","e-money","電子貨幣"
"electronic payment","","電子支付"
"electronic post office","","電子郵局"
"electronic product code","EPC","電子產品碼"
"electronic purse","e-purse","電子錢包"
"electronic record","","電子紀錄"
"electronic service delivery","ESD","公共服務電子化"
"electronic signature","","電子簽署"
"electronic sports","e-sports","電子競技"
"electronic transaction","","電子交易"
"Electronic Transactions Ordinancell","","電子交易條例"
"Electronic Transactions (Amendment) Ordinance 2004","","《2004 年電子交易（修訂）條例》"
"Electronic Transactions (Amendment of Schedule 1) Order 2014","","《2014 年電子交易條例(修訂附表 1)令》"
"Electronic Transactions (Exclusion) (Amendment) Order 2015","","《2015 年電子交易(豁免)(修訂)令》"
"email spam","","濫發電郵"
"embedded [database] language","","嵌入 [數據庫] 語言"
"emulation","","仿真"
"emulator","","仿真器"
"encapsulation","","封包"
"Encrypted Media Extensions","","加密媒體擴展"
"encryption","","加密"
"endpoint security solutions","","端點保安解決方案"
"end user computing","","終端用戶電腦應用"
"end-to-end connectivity","","端對端連接"
"endpoint access control","","端點存取監控"
"endpoint protection","","端點保護"
"enterprise architecture","","企業架構"
"enterprise data modelling","","企業數據模型"
"enterprise resource planning","ERP","企業資源規劃"
"entry point","","進入點"
"equipment installation","","安裝設備"
"equipment relocation","","遷移設備"
"erasable storage","","可擦儲存器"
"error checking and correcting","","誤差校驗"
"error control","","誤差控制"
"error handling","","誤差處理"
"error message","","誤差信息"
"error recovery routine [procedure]","","誤差復原例程 [程序]"
"error-free program","","無誤差程式"
"ethernet","","以太網"
"event log","","事件記錄"
"event management","","事件管理"
"exchange network traffic","","交換網絡通訊"
"executable","","執行檔"
"executive information system","EIS","行政資訊系統"
"expansion slot","","擴展槽"
"expert system","","專家系統"
"extensible hypertext markup language","XHTML","可擴充超文本標示語言"
"extensible markup language","XML","可擴充標示語言"
"Extensible Markup Language Co-ordination Group","XMLCG","可擴充標示語言協調小組"
"extensible markup language (XML) schema","XML schema","可擴充標示語言結構描述"
"Extensible Markup Language (XML) Schema Design and Management Guide","XML Schema Design and Management Guide","可擴充標示語言結構描述設計及管理指引"
"extensible style language","XSL","可擴充式樣語言"
"external schema","","外模式"
"extranet","","外聯網"
"e-book reader","","電子書閱讀器"
"e-readiness","","電子化就緒度"
"facial recognition","","人臉識別"
"Fast IDentity Online","FIDO","線上快速身分認證"
"Faster Payment System","FPS","快速支付系統"
"fault-tolerant system","","容錯系統"
"fax server software","","傳真伺服軟件"
"feasibility study","","可行性研究"
"Federal Information Processing Standards","FIPS","聯邦資訊處理標準"
"fibre distributed data interface","FDDI","光纖分布式數據界面"
"fibre network","","光纖網絡"
"field","","字段"
"field type","","字段類型"
"Fifth Generation (5G) Mobile Communications Service","","第五代流動通訊服務"
"file","","檔案"
"file backup","","檔案備份"
"file organization","","檔案組織"
"file server","","檔案伺服器"
"file transfer protocol","FTP","檔案傳送規約"
"financial technology","fintech","金融科技"
"fingerprint identification","","指紋鑑別"
"firewall","","防火牆"
"firmware","","固件"
"first-cut design","","初步設計"
"Flash animation Flash","","動畫短片"
"flash memory","","快閃記憶體"
"floppy disk","","軟磁碟"
"floppy disk drive","","軟磁碟機"
"flow diagram","","流程圖"
"flowchart template","","流程圖模板"
"fog computing","","霧運算"
"font file","","字型檔案"
"foreground","","前台"
"foreign key","","外鍵碼"
"forward channel","","前向通道"
"Fourth Generation (4G) Mobile Communications Service","","第四代流動通訊服務"
"frame [communication]","","幀"
"frame [graphics user interface]","","框"
"freeware","","免費軟件"
"function analysis","","功能分析"
"function dependence","","功能相關性"
"function design","","功能設計"
"function key","","功能鍵"
"Function Point Analysis","FPA","功能點分析法"
"function sharing","","功能共用"
"function specification","","功能規格"
"function test","","功能測試"
"function unit","","功能單位"
"gateway","","通訊閘"
"generic top-level domain","gTLD","通用頂級域名"
"geo-spatial data","","地理空間數據"
"geographic information system","GIS","地理信息系統"
"geography markup language","GML","地理標示語言"
"gerontechnology","","樂齡科技"
"gigabyte","GB","十億字節"
"global positioning system","GPS","全球定位系統"
"glyph","","字形"
"government-to-business","G2B","政府與企業"
"government-to-citizen","G2C","政府與市民"
"government-to-employee","G2E","政府與僱員"
"government-to-government","G2G","政府與政府"
"graphic support software","","圖形支援軟件"
"graphics interchange format","GIF","圖形互換檔案格式"
"graphics user interface","GUI","圖形用戶界面"
"green computing","","綠色運算"
"green data centre management","","綠色數據中心管理"
"green data centre strategy","","綠色數據中心策略"
"green technology","","綠色科技"
"grid computing","","網格電腦運作"
"groupware","","小組軟件"
"Guo Biao (GB) code","GB code","國家標準碼"
"hacker","","黑客"
"half-duplex transmission","","半雙向傳輸"
"hand-held personal computer","","手提個人電腦"
"hard copy","","硬複本"
"hard disk","","硬磁碟"
"hard disk controller","","硬磁碟控制器"
"hardware","","硬件"
"hardware device","","硬件設備"
"harmonization","","協調"
"hash function","","雜湊函數"
"help desk","","求助台"
"healthcare technology","","醫療科技"
"hierarchical model","","分級模型"
"high bandwidth network","","高帶寬網絡"
"high-end technology","","高端科技"
"high-level data link control","HDLC","高級數據鏈路控制"
"High Speed Downlink Packet Access","HSDPA","高速下行封包接達"
"high-tier data centres","","高端數據中心"
"hoax","","惡作劇電子郵件"
"holographic technology","","全息技術"
"home page","","本頁"
"Home Theatre PC","HTPC","家庭影院個人電腦"
"honeynet","","誘捕網絡"
"honeypot","","誘捕系統"
"Hong Kong Supplementary Character Set","HKSCS","香港增補字符集"
"iris recognition","","虹膜辨識"
"host","","主機"
"host language","","主機語言"
"hosting capacity","","系統託管容量"
"hosting sharing ratio","","系統託管服務的共用比率"
"hotspot","","無線上網熱點"
"household broadband penetration rate","","住戶寬頻滲透率"
"hub","","集線器"
"hybrid computer","","併合電腦"
"hybrid clouds","","混合雲端平台"
"hyper link","","超文本連結"
"hyper text","","超文本"
"hyper text markup language","HTML","超文本標示語言"
"hyper text transmission protocol","HTTP","超文本傳輸規約"
"I seek you","ICQ","網際呼叫器"
"identity management","","身分管理"
"ideographic character","","表意字符"
"Ideographic Description Character","IDC","表意文字描述字符"
"Ideographic Description Sequence","IDS","表意文字描述序列"
"Ideographic Rapporteur Group","IRG","表意文字小組"
"idling of capacity","","系統容量閒置"
"image processing","","圖像處理"
"image scanner","","圖像掃描器"
"impact analysis","","影響分析"
"impact printer","","擊打式打印機"
"implementation documentation","","推行階段文件編製"
"implementation phase","","推行階段"
"implementation plan","","推行計劃"
"in-house private cloud","","內部私有雲端平台"
"in-vehicle unit","IVU","車內感應器"
"inbox","","收信箱"
"incident management","","事故管理"
"Indicator of Compromise","IoC","入侵指標"
"Industry 4.0","","工業 4.0"
"information","","資訊"
"information analysis","","資訊分析"
"Information Infrastructure Advisory Committee","IIAC","資訊基建諮詢委員會"
"information kiosk","","資訊站"
"information management","","資訊管理"
"information processing","","資訊處理"
"information processing system","","資訊處理系統"
"information retrieval","","資訊檢索"
"information security","","資訊保安"
"information security management","","資訊保安管理"
"information sharing and analysis centre","","資訊交流分析中心"
"information source","","資訊源"
"information superhighway","","資訊高速公路"
"information system","","資訊系統"
"information system development project","","資訊系統發展計劃"
"information technology","IT","資訊科技"
"Information Technology Security Evaluation And Certification Scheme","ITSEC","資訊科技保安評估及認證計劃"
"information technology service management","","資訊科技服務管理"
"infotainment","","資訊娛樂"
"infrastructure [the concept]","","基本建設 [概念]"
"infrastructure [the facility]","","基本設施 [設施]"
"infrastructure as a service [cloud computing]","IaaS","基礎設施即服務 [雲端運算]"
"inheritance","","繼承性"
"initial graphic exchange specification","IGES","初始圖形交換規格"
"ink cartridge","","油墨盒"
"ink-jet printer","","噴墨打印機"
"input","","輸入"
"input/output structure","","輸入/輸出結構"
"installation development standard [the facility]","","電腦中心發展標準 [設施]"
"instant messaging","","即時通訊/即時傳訊"
"integrated circuit","","集成電路"
"Integrated Services Digital Network","ISDN","綜合服務數碼網絡"
"integrated software","","綜合軟件"
"integration test","","綜合測試"
"integrity","","完整性"
"Intelligent Character Recognition","","智能字元識別"
"intelligent terminal","","智能終端機"
"Interactive Government Services Directory","IGSD","政府互動服務指南"
"interactive television","","互動電視"
"interface","","界面"
"intergraph digital print room (DPR) format","","數碼印刷室規格"
"interlock","","聯鎖"
"internal representation","","內部表示"
"internal schema","","內模式"
"International Organization for Standardization","ISO","國際標準化組織"
"International Telecommunication Union","ITU","國際電信聯盟"
"internationalized domain name","IDN","國際化域名"
"Internet","","互聯網"
"Internet content hub","","互聯網資訊樞紐"
"internet content rating system project","ICRS","互聯網內容標籤制度計劃"
"Internet Corporation for Assigned Names and Numbers","ICANN","互聯網名稱與數字地址分配機構"
"Internet Corporation for Assigned Names and Numbers (ICANN) Governmental Advisory Committee (GAC)","","互聯網名稱與數字地址分配機構轄下政府諮詢委員會"
"Internet domain name","","互聯網域名"
"Internet hub","","互聯網樞紐"
"Internet of things","","物聯網"
"Internet protocol (IP) address","IP address","互聯網規約地址"
"Internet Protocol version 6","IPv6","互聯網規約版本 6"
"Internet service provider","ISP","互聯網服務供應商"
"Internet traffic hub","","互聯網通訊樞紐"
"internetworking","","網間互連"
"interoperability","","互用性"
"Interoperability Framework Co-ordination Group","","互用架構協調小組"
"intranet","","內聯網"
"intrusion detection system","IDS","網絡入侵偵測系統"
"intrusion prevention system","IPS","網絡入侵防禦系統"
"IP (internet protocol) phone","IP phone","互聯網規約電話"
"IT as utility","","資訊科技公用設施"
"job control language","","工件控制語言"
"job control procedure","","工件控制程序"
"job scheduling","","工件調度"
"job submission","","工件提交"
"joint photographic experts group","JPEG","聯合圖像專家小組規範"
"Joint School Electronics and Computer Exhibition","","香港聯校電子及電腦展"
"kernel","","核心"
"key compromise","","密碼匙資料外泄"
"key pair","","配對密碼匙"
"keyboard","","鍵盤"
"keylogger","","鍵盤側錄程式"
"keystroke","","鍵次"
"keyword","","關鍵字"
"kilobyte","KB","千字節"
"knowledge base","","知識庫"
"label","","標籤"
"landing contact","","下落式接觸"
"laptop computer","","膝上電腦"
"laser printer","","激光打印機"
"leased line","","租用線路"
"light pen","","光筆"
"lightweight directory access protocol","LDAP","輕量式目錄接達規約"
"line printer","","行式打印機"
"link test","","連結測試"
"liquid crystal display","LCD","液晶顯示"
"live run","","生產運作"
"load balancer","","負載平衡器"
"load balancing","","負載平衡"
"local area network","LAN","局部區域網絡"
"local area network administrator","LAN administrator","局部區域網絡管理員"
"location based service","LBS","位置服務"
"location resilience","","站點復原能力"
"logical data flow diagram","","邏輯數據流程圖"
"logical data model","","邏輯數據模型"
"logical data structure","","邏輯數據結構"
"logical design","","邏輯設計"
"logical schema","","邏輯模式"
"logical system specification","","邏輯系統規格"
"long term evolution","LTE","長期演進技術"
"low-latency communication","","低延遲通訊"
"low-tier data centres","","低端數據中心"
"machine-readable format","","機讀格式"
"machine-to-machine communication","","機器類型通訊"
"machine learning","","機器學習"
"machine platform","","機器平台"
"macro","","宏指令"
"magnetic medium","","磁性媒體"
"magnetic optical (MO) disk drive","MO disk drive","磁光碟機"
"mailbox","","郵箱"
"mainframe","","主機"
"mainframe computer","","主機電腦"
"mainframe system","","主機系統"
"maintenance [system]","","[系統]維修"
"malicious attack","","惡意攻擊"
"malicious code","","惡意程式碼"
"malware","","惡意軟件"
"management information","","管理資訊"
"management information system","","管理資訊系統"
"mashup [web application]","","[網上應用系統]混搭"
"master station","","主站"
"master-slave","","主從式"
"matrix printer","","點陣式打印機"
"Media Centre PC","MCPC","媒體中心個人電腦"
"megabyte","MB","百萬字節"
"memory [computer]","","[電腦]記憶體"
"memory module","","記憶模組"
"menu","","選項單"
"message","","信息"
